"","FGFR3__MUT","RB1__MUT","TP53__MUT"
"GSM1167335",-5.24543878814412,17.1139392805398,39.8168051648551
"GSM1167336",-25.7291149175052,29.7774850804581,39.4408043917422
"GSM1167339",12.2293837724583,2.69747782390158,17.7031587295569
"GSM1167342",-38.6313516667478,8.54045506523931,8.7253649037842
"GSM1167344",-34.6255466435449,36.5798413964756,46.8001214523871
"GSM1167347",-36.1508800319549,50.217293796024,60.85219635836
"GSM1167350",-37.325384936594,46.2792455819687,57.5916084922053
"GSM1167354",-18.6280873086307,22.8802195610411,34.9193533142336
"GSM1167361",-28.9317515404919,15.5158780384329,21.1147380382424
"GSM1167372",-44.9986753702953,55.8929946667108,57.6854627076088
"GSM1167373",-29.1260625938385,32.6828865681337,33.7361463834021
"GSM1167375",-56.4463155055953,47.4980120199643,43.7438780820951
"GSM1167376",-21.3500195547125,2.20023791437633,2.14507398786736
"GSM1167377",-13.0210084654984,12.1615081186936,30.9230356225627
"GSM1167378",-44.8966457768606,24.1562846770569,9.45442271546514
"GSM1167379",-45.1415373628307,53.5630776162831,63.932870730511
"GSM1167380",-24.1037364549518,26.9505336727067,39.3756782166797
"GSM1167381",-9.92720766905206,1.6240609261304,18.7619811392894
"GSM1167383",-47.9347006309365,30.480780011534,36.0650173227619
"GSM1167384",-34.438599746536,23.7601101437604,41.4963043688507
"GSM1167385",-27.1714246069249,17.3856688965219,35.4755413040025
"GSM1167387",-49.8588156097171,58.3470631956319,66.2854456662653
"GSM1167388",-29.56447039204,28.43579843773,45.7169350756157
"GSM1167389",-14.3330669789514,7.53453577588604,26.2290968266587
"GSM1167390",-15.60692495134,-4.58133716000681,-21.1120241108952
"GSM1167391",-34.3602998514106,40.9967109376453,52.6031328192266
"GSM1167393",-38.4041492372692,8.68487954032799,-16.594179045681
"GSM1167396",-40.8138562345369,36.9745459593213,35.9390497531959
"GSM1167398",-47.988221906163,54.5639387988072,59.5156330081711
"GSM1167399",-39.8261604365809,10.8223869601348,4.08388417096903
"GSM1167400",-1.73884648802268,-9.68591846462979,-14.8229530602104
"GSM1167401",-10.8567485434474,-1.29059648520819,16.652837628775
"GSM1167402",-39.2784173464508,38.7332399449828,49.268838587768
"GSM1167403",-45.9879730860217,15.3583153825991,3.14070951573104
"GSM1167404",-20.427460205486,-10.6405731814401,-12.5588679180316
"GSM1167406",-42.7471986533563,52.3980251986108,62.0829654951749
"GSM1167410",-26.7566852698204,1.86329740066937,-0.80002026127206
"GSM1167416",-51.4341813401463,57.5364078080737,68.6557474991339
"GSM1167419",-20.2282915762495,35.2166645726594,44.5461524872458
"GSM1167420",1.66670646513277,0.46406472638866,11.9907353515184
"GSM1167422",-38.8941443137806,45.7214545145523,48.4051713453619
"GSM1167424",-50.7032087296597,48.3220271373285,45.6140667249598
"GSM1167428",1.7586451706627,-23.4620362413408,-17.3539924402859
"GSM1167429",-8.10049110994213,20.9446897427576,35.6608064132948
"GSM1167433",-34.8779652264793,5.84401292316924,20.0381350247939
"GSM1167434",-44.94973533426,57.3889846260667,69.8621352419101
"GSM1167435",-9.38204548836476,25.5338808299396,19.2177928705009
"GSM1167436",-6.41353536435304,-17.9014699564768,-9.0200192796508
"GSM1167437",-22.8292456255061,4.46194600320728,1.33267065920811
"GSM1167439",-40.8455799015325,44.2064169727558,60.6036926210368
"GSM1167441",-44.2656356840201,51.7344001580911,62.1685515897785
"GSM1167443",-48.3122172958633,23.649621967669,8.89427757062808
"GSM1167444",-18.2820300358709,38.7002615158054,53.4485981550346
"GSM1167445",-13.5744588371233,17.6782978397817,31.377751767588
"GSM1167449",37.6044038807207,-39.3643661809062,-33.9528208364986
"GSM1167451",46.9232285241758,-42.3850909330827,-33.2484664679056
"GSM1167453",-15.8456684009268,19.7937245551147,28.8888282769428
"GSM1167454",10.6081934294439,-19.7688127313731,-7.53722952290744
"GSM1167455",-16.8784302709426,18.7576055805634,33.6415603851761
"GSM1167457",11.1098518006021,0.4306447844502,12.3661253043625
"GSM1167458",-32.1792516581766,34.7532983013965,31.1514402239048
"GSM1167461",-39.9461036015642,37.9568985655941,51.1996914522752
"GSM1167462",35.1123047480672,-29.56861509357,-17.1025059587469
"GSM1167465",-26.4674573215388,-4.59682578284477,-22.3768003559468
"GSM1167466",4.77850132171042,-21.9846525687067,-17.8800283312772
"GSM1167468",-53.4873228162246,34.9478865577844,27.7355518394885
