"","NavB","MemB","CD8T","CD4T","NKcell","Monocyte"
"uni.noj__ARID1A_mut",0.169298706548814,0.119471876986619,-0.131497866863896,-0.013323575526941,-0.355739713930423,-0.336939033616727
"uni.noj__CHD6_mut",-0.0871725248253366,-0.0590147042038312,-0.352131245558543,-0.065299619664642,-0.389037874871328,-0.313285481917727
"uni.noj__CHD7_mut",-0.352771380744917,-0.262426979887069,-0.124237641927848,0.0910202267170482,-0.00557286886928768,0.346766513385239
"uni.noj__CREBBP_mut",-0.422224900004276,-0.409565135654593,-0.0485571603793954,-0.14610489312057,0.178284805208435,0.505823056952066
"uni.noj__EP300_mut",-0.37342815273205,-0.321102446012557,0.0979350295472833,-0.124992269965663,0.307031309907766,0.695225860118712
"uni.noj__KDM6A_mut",0.13881622165816,0.19568701188146,-0.226603262127496,0.373410837455135,-0.468762003639035,-0.7101986274286
"uni.noj__CHD6_amp",0.0854068966394581,0.158998060335612,-0.326009030093598,0.366678021719011,-0.568888299148618,-0.769523416438417
"uni.noj__CHD7_amp",0.0455746922739588,0.0825961678111829,-0.381449366419883,0.289874697468542,-0.618246379428603,-0.772654654576127
"uni.noj__PRDM9_amp",-0.488709379332132,-0.352848239372042,-0.298437808649228,0.147961338167005,-0.275770874361411,0.0882697479849788
"uni.noj__CHD3_del",0.0653939702551812,0.178131441327184,-0.252684663011141,0.473878137908053,-0.480144324599955,-0.700504015907439
"uni.noj__CREBBP_del",-0.126413359478224,-0.0471809492376154,-0.480016756947578,0.263809728429317,-0.681407739080686,-0.666604944182968
"uni.noj__HDAC4_del",0.0368645779259903,0.147179323721823,-0.354901513178516,0.393877494769196,-0.585083206973039,-0.718996378280141
"uni.noj__PHF23_del",0.0549035627419059,0.172061730022323,-0.257858043705879,0.480437270815525,-0.484940126246037,-0.694786264108859
"uni.noj__CHD6_ampmut",0.0563405540393891,0.130011756719653,-0.366084708454908,0.323950632378649,-0.599972401568835,-0.75886126964798
"uni.noj__CHD7_ampmut",-0.0761842147574925,-0.00719414418537099,-0.443927126006804,0.325975106285764,-0.647441526486543,-0.687880118917081
"uni.noj__CREBBP_delmut",-0.385180631908663,-0.297576815338932,-0.544937030698572,0.128756752516281,-0.595367244655322,-0.373860681281938
"uni.noj__EP300CREBBP_mut",-0.382309476297683,-0.362246901007148,0.0722186629708563,-0.156479040917413,0.307498292324986,0.666991887616079
"uni.noj__EP300CREBBP_delmut",-0.524691231508433,-0.429120090633107,-0.194043297379987,-0.00926049279278101,-0.0147301767465725,0.387865736636052
"uni.adj__ARID1A_mut",0.0879278596091483,0.124150005424276,-0.21282807590876,0.187508370522897,-0.407720175230602,-0.395038678441526
"uni.adj__CHD6_mut",0.391008282709707,0.320470615091642,-0.0687388223703483,-0.00736376322454274,-0.232297161248693,-0.512124757630295
"uni.adj__CHD7_mut",-0.0929779131274888,-0.0442341718050045,-0.300244251416407,0.236839594455012,-0.265535072093392,-0.22099947312086
"uni.adj__CREBBP_mut",-0.28217487652264,-0.357445975452591,0.0583254501706968,-0.285921867109844,0.251870844996115,0.524839648167708
"uni.adj__EP300_mut",-0.363207545502958,-0.277034712889739,0.104290796294248,-0.00993543521948527,0.28345691376038,0.659753218432925
"uni.adj__KDM6A_mut",0.124537125543885,0.19422687465259,-0.229571065253505,0.396422133729771,-0.467731391289568,-0.717003001196874
"uni.adj__CHD6_amp",0.072114064563367,0.194091356107752,-0.301897860361833,0.454820555424611,-0.512819665631402,-0.725539432716191
"uni.adj__CHD7_amp",0.0215571663867364,0.073631978277455,-0.373256060081891,0.317928803115054,-0.586967568486337,-0.753200410902122
"uni.adj__PRDM9_amp",-0.508181291656051,-0.423025289845368,-0.156605725137294,-0.0442090823221271,-0.0257177800684201,0.411523352124531
"uni.adj__CHD3_del",0.0710915797928598,0.164746732271542,-0.298716973317865,0.439990550806026,-0.535780959626782,-0.760526716588848
"uni.adj__CREBBP_del",-0.165620093636777,-0.0685400500588189,-0.492271025781741,0.297188811786827,-0.659522995924549,-0.650318336065496
"uni.adj__HDAC4_del",0.0508500210786993,0.149212455267396,-0.346596894346067,0.369917568680692,-0.585040095467249,-0.749274260204794
"uni.adj__PHF23_del",0.0459284186452315,0.149071282754585,-0.308252213616804,0.452126616372266,-0.543815424802049,-0.744079147070662
"uni.adj__CHD6_ampmut",0.17005121434864,0.24941419591211,-0.268988763092028,0.365252161670974,-0.491698561524536,-0.742881565979509
"uni.adj__CHD7_ampmut",-0.0158402980206518,0.047990173403664,-0.416094231857212,0.353900054101406,-0.591331901701526,-0.727500652856614
"uni.adj__CREBBP_delmut",-0.362502919744398,-0.353015208113727,-0.435265600446098,-0.073134959155382,-0.421428573952664,-0.191159243654569
"uni.adj__EP300CREBBP_mut",-0.344338310827596,-0.324155942090647,0.127975444817096,-0.13554169076965,0.332846090864213,0.681865887172949
"uni.adj__EP300CREBBP_delmut",-0.464718709792779,-0.408066657455411,-0.135708129451837,-0.0112225963657001,0.00937516233072108,0.398409150099068
