"Group","Value","Gene","transformed_score"
"Mut",-5.24543878814412,"FGFR3",-0.34243666175764
"Mut",12.2293837724583,"FGFR3",0.798367786477468
"Mut",-38.6313516667478,"FGFR3",-2.52196081934015
"Mut",-1.73884648802268,"FGFR3",-0.113516678149657
"Mut",-10.8567485434474,"FGFR3",-0.708758385888174
"Mut",-8.10049110994213,"FGFR3",-0.528822324751111
"Mut",-44.94973533426,"FGFR3",-2.93444227193039
"Mut",-9.38204548836476,"FGFR3",-0.61248571706823
"Mut",37.6044038807207,"FGFR3",2.45491884518894
"Mut",46.9232285241758,"FGFR3",3.063277331732
"Mut",-16.8784302709426,"FGFR3",-1.10187032031607
"Mut",35.1123047480672,"FGFR3",2.29222776399973
"Wild",-25.7291149175052,"FGFR3",-1.67966734112752
"Wild",-34.6255466435449,"FGFR3",-2.26045085702813
"Wild",-36.1508800319549,"FGFR3",-2.36002881317075
"Wild",-37.325384936594,"FGFR3",-2.43670372160198
"Wild",-18.6280873086307,"FGFR3",-1.21609274086187
"Wild",-28.9317515404919,"FGFR3",-1.88874426267641
"Wild",-44.9986753702953,"FGFR3",-2.93763721199987
"Wild",-29.1260625938385,"FGFR3",-1.90142942232426
"Wild",-56.4463155055953,"FGFR3",-3.68497062513495
"Wild",-21.3500195547125,"FGFR3",-1.39378795941736
"Wild",-13.0210084654984,"FGFR3",-0.850047222306986
"Wild",-44.8966457768606,"FGFR3",-2.93097643970085
"Wild",-45.1415373628307,"FGFR3",-2.94696363554454
"Wild",-24.1037364549518,"FGFR3",-1.57355816755989
"Wild",-9.92720766905206,"FGFR3",-0.648075402661934
"Wild",-47.9347006309365,"FGFR3",-3.12930901100408
"Wild",-34.438599746536,"FGFR3",-2.2482464497472
"Wild",-27.1714246069249,"FGFR3",-1.77382528200024
"Wild",-49.8588156097171,"FGFR3",-3.25492052546132
"Wild",-29.56447039204,"FGFR3",-1.93004988840308
"Wild",-14.3330669789514,"FGFR3",-0.935702008402872
"Wild",-15.60692495134,"FGFR3",-1.01886295817967
"Wild",-34.3602998514106,"FGFR3",-2.24313481737751
"Wild",-38.4041492372692,"FGFR3",-2.50712842025283
"Wild",-40.8138562345369,"FGFR3",-2.66444071638017
"Wild",-47.988221906163,"FGFR3",-3.13280302696
"Wild",-39.8261604365809,"FGFR3",-2.59996121989866
"Wild",-39.2784173464508,"FGFR3",-2.56420304544262
"Wild",-45.9879730860217,"FGFR3",-3.00222128607647
"Wild",-20.427460205486,"FGFR3",-1.33356074934364
"Wild",-42.7471986533563,"FGFR3",-2.79065462348578
"Wild",-26.7566852698204,"FGFR3",-1.74674995811721
"Wild",-51.4341813401463,"FGFR3",-3.35776473041036
"Wild",-20.2282915762495,"FGFR3",-1.32055847379011
"Wild",1.66670646513277,"FGFR3",0.108807179170587
"Wild",-38.8941443137806,"FGFR3",-2.53911664565306
"Wild",-50.7032087296597,"FGFR3",-3.31004482923888
"Wild",1.7586451706627,"FGFR3",0.114809190571262
"Wild",-34.8779652264793,"FGFR3",-2.27692943592243
"Wild",-6.41353536435304,"FGFR3",-0.418693216894953
"Wild",-22.8292456255061,"FGFR3",-1.49035590313493
"Wild",-40.8455799015325,"FGFR3",-2.66651172455765
"Wild",-44.2656356840201,"FGFR3",-2.88978236643932
"Wild",-48.3122172958633,"FGFR3",-3.15395433653674
"Wild",-18.2820300358709,"FGFR3",-1.19350117091949
"Wild",-13.5744588371233,"FGFR3",-0.886177983786108
"Wild",-15.8456684009268,"FGFR3",-1.03444878678142
"Wild",10.6081934294439,"FGFR3",0.692532024864857
"Wild",11.1098518006021,"FGFR3",0.725281662197474
"Wild",-32.1792516581766,"FGFR3",-2.10074999647146
"Wild",-39.9461036015642,"FGFR3",-2.6077914393858
"Wild",-26.4674573215388,"FGFR3",-1.72786836267844
"Wild",4.77850132171042,"FGFR3",0.311953700519673
"Wild",-53.4873228162246,"FGFR3",-3.49179944925476
"Mut",50.217293796024,"RB1",2.87839793864463
"Mut",46.2792455819687,"RB1",2.65267351176367
"Mut",57.5364078080737,"RB1",3.29792119632079
"Mut",45.7214545145523,"RB1",2.62070156470561
"Mut",25.5338808299396,"RB1",1.4635728927375
"Mut",18.7576055805634,"RB1",1.07516453308516
"Mut",34.7532983013965,"RB1",1.99201937480274
"Wild",17.1139392805398,"RB1",0.980951457625048
"Wild",29.7774850804581,"RB1",1.70681144272251
"Wild",2.69747782390158,"RB1",0.154616348690471
"Wild",8.54045506523931,"RB1",0.489529132229309
"Wild",36.5798413964756,"RB1",2.09671473933347
"Wild",22.8802195610411,"RB1",1.31146805894689
"Wild",15.5158780384329,"RB1",0.889352412009561
"Wild",55.8929946667108,"RB1",3.20372263162603
"Wild",32.6828865681337,"RB1",1.8733457383982
"Wild",47.4980120199643,"RB1",2.72253181231378
"Wild",2.20023791437633,"RB1",0.12611512486103
"Wild",12.1615081186936,"RB1",0.697083758472647
"Wild",24.1562846770569,"RB1",1.38461065429333
"Wild",53.5630776162831,"RB1",3.07017444676356
"Wild",26.9505336727067,"RB1",1.54477381604808
"Wild",1.6240609261304,"RB1",0.0930893178153927
"Wild",30.480780011534,"RB1",1.74712350509868
"Wild",23.7601101437604,"RB1",1.36190238242556
"Wild",17.3856688965219,"RB1",0.996526688932582
"Wild",58.3470631956319,"RB1",3.34438703747058
"Wild",28.43579843773,"RB1",1.62990749639632
"Wild",7.53453577588604,"RB1",0.431870987195086
"Wild",-4.58133716000681,"RB1",-0.262597014708979
"Wild",40.9967109376453,"RB1",2.34988465793174
"Wild",8.68487954032799,"RB1",0.497807378227065
"Wild",36.9745459593213,"RB1",2.11933875417352
"Wild",54.5639387988072,"RB1",3.12754266689005
"Wild",10.8223869601348,"RB1",0.620326862769591
"Wild",-9.68591846462979,"RB1",-0.555185786309292
"Wild",-1.29059648520819,"RB1",-0.0739755168355842
"Wild",38.7332399449828,"RB1",2.22014508522746
"Wild",15.3583153825991,"RB1",0.880321100493619
"Wild",-10.6405731814401,"RB1",-0.609905504582956
"Wild",52.3980251986108,"RB1",3.00339497252383
"Wild",1.86329740066937,"RB1",0.106802079358431
"Wild",35.2166645726594,"RB1",2.01857900036636
"Wild",0.46406472638866,"RB1",0.0265996602138796
"Wild",48.3220271373285,"RB1",2.76976341792095
"Wild",-23.4620362413408,"RB1",-1.34481712670124
"Wild",20.9446897427576,"RB1",1.20052569989102
"Wild",5.84401292316924,"RB1",0.334972147638803
"Wild",57.3889846260667,"RB1",3.28947106786661
"Wild",-17.9014699564768,"RB1",-1.02609181671019
"Wild",4.46194600320728,"RB1",0.2557536499307
"Wild",44.2064169727558,"RB1",2.53386134278944
"Wild",51.7344001580911,"RB1",2.96535674297638
"Wild",23.649621967669,"RB1",1.3555693263354
"Wild",38.7002615158054,"RB1",2.21825479932417
"Wild",17.6782978397817,"RB1",1.01329984581531
"Wild",-39.3643661809062,"RB1",-2.25632052040494
"Wild",-42.3850909330827,"RB1",-2.42946501391737
"Wild",19.7937245551147,"RB1",1.13455368959075
"Wild",-19.7688127313731,"RB1",-1.1331257723
"Wild",0.4306447844502,"RB1",0.0246840673032775
"Wild",37.9568985655941,"RB1",2.17564608384372
"Wild",-29.56861509357,"RB1",-1.69483925357696
"Wild",-4.59682578284477,"RB1",-0.263484804884019
"Wild",-21.9846525687067,"RB1",-1.26013518156954
"Wild",34.9478865577844,"RB1",2.00317295146393
"Mut",39.8168051648551,"TP53",2.05903749325031
"Mut",39.4408043917422,"TP53",2.03959344980873
"Mut",46.8001214523871,"TP53",2.42016415832855
"Mut",57.5916084922053,"TP53",2.97822190130697
"Mut",34.9193533142336,"TP53",1.80577666682121
"Mut",2.14507398786736,"TP53",0.110927728845342
"Mut",63.932870730511,"TP53",3.30614616969424
"Mut",45.7169350756157,"TP53",2.36414958476555
"Mut",52.6031328192266,"TP53",2.72025398041771
"Mut",49.268838587768,"TP53",2.54782837249472
"Mut",62.0829654951749,"TP53",3.21048243618407
"Mut",68.6557474991339,"TP53",3.55037923415867
"Mut",44.5461524872458,"TP53",2.30360516800692
"Mut",-17.3539924402859,"TP53",-0.897423109267217
"Mut",35.6608064132948,"TP53",1.84411926422782
"Mut",-9.0200192796508,"TP53",-0.466450228986102
"Mut",60.6036926210368,"TP53",3.13398513063714
"Mut",62.1685515897785,"TP53",3.2149083306515
"Mut",53.4485981550346,"TP53",2.76397533923755
"Mut",31.377751767588,"TP53",1.62263062231804
"Mut",-7.53722952290744,"TP53",-0.389771055679727
"Mut",33.6415603851761,"TP53",1.73969844837435
"Mut",51.1996914522752,"TP53",2.6476781325523
"Wild",17.7031587295569,"TP53",0.915479467079234
"Wild",8.7253649037842,"TP53",0.45121283349574
"Wild",60.85219635836,"TP53",3.14683594853282
"Wild",21.1147380382424,"TP53",1.09190170082441
"Wild",57.6854627076088,"TP53",2.98307536324635
"Wild",33.7361463834021,"TP53",1.7445897528343
"Wild",43.7438780820951,"TP53",2.2621173320733
"Wild",30.9230356225627,"TP53",1.59911598854678
"Wild",9.45442271546514,"TP53",0.488914436192962
"Wild",39.3756782166797,"TP53",2.03622559456041
"Wild",18.7619811392894,"TP53",0.970234112292637
"Wild",36.0650173227619,"TP53",1.86502213210805
"Wild",41.4963043688507,"TP53",2.14588905797513
"Wild",35.4755413040025,"TP53",1.8345386912852
"Wild",66.2854456662653,"TP53",3.42780434840404
"Wild",26.2290968266587,"TP53",1.35637938695928
"Wild",-21.1120241108952,"TP53",-1.0917613561097
"Wild",-16.594179045681,"TP53",-0.858131050025201
"Wild",35.9390497531959,"TP53",1.85850799950509
"Wild",59.5156330081711,"TP53",3.07771854851168
"Wild",4.08388417096903,"TP53",0.211188983930306
"Wild",-14.8229530602104,"TP53",-0.766536038873418
"Wild",16.652837628775,"TP53",0.861164448144195
"Wild",3.14070951573104,"TP53",0.162414805043331
"Wild",-12.5588679180316,"TP53",-0.649453912963129
"Wild",-0.80002026127206,"TP53",-0.041371267898035
"Wild",11.9907353515184,"TP53",0.620074201287519
"Wild",48.4051713453619,"TP53",2.50316574257142
"Wild",45.6140667249598,"TP53",2.35882997687656
"Wild",20.0381350247939,"TP53",1.03622757124876
"Wild",69.8621352419101,"TP53",3.6127648922618
"Wild",19.2177928705009,"TP53",0.993805401866023
"Wild",1.33267065920811,"TP53",0.0689160981676692
"Wild",8.89427757062808,"TP53",0.459947776258637
"Wild",-33.9528208364986,"TP53",-1.75579459011112
"Wild",-33.2484664679056,"TP53",-1.71937047101209
"Wild",28.8888282769428,"TP53",1.4939214814452
"Wild",12.3661253043625,"TP53",0.639486657517881
"Wild",31.1514402239048,"TP53",1.61092742434247
"Wild",-17.1025059587469,"TP53",-0.884418045390531
"Wild",-22.3768003559468,"TP53",-1.15716644570318
"Wild",-17.8800283312772,"TP53",-0.92462588502639
"Wild",27.7355518394885,"TP53",1.43428235633286
